case,t,att_err_angle_E,att_err_angle_Q,tau_norm_E,tau_norm_Q,omega_norm_E,omega_norm_Q,eR_norm_E,eR_norm_Q,condE
Nominal_30deg,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.043000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.051000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.07100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.07200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
