case,rep,dt,T_end,theta_target_deg,ramp_start,ramp_end,K_R,K_w,max_att_err_angle,rms_att_err_angle,iae_att_err_angle,ise_att_err_angle,max_tau_norm,rms_tau_norm,iae_tau_norm,ise_tau_norm,max_omega_norm,rms_omega_norm,iae_omega_norm,ise_omega_norm,max_eR_norm,rms_eR_norm,iae_eR_norm,ise_eR_norm,max_cond_E,t_first_cond_ge_100,t_first_cond_ge_1000,t_first_cond_ge_10000,t_first_cond_ge_100000,t_first_cond_ge_1e+06
Nominal_30deg,Euler_ZYX,0.001,4.0,30.0,0.5,1.5,80.0,2.0,0.013335436423346154,0.0065045263809678285,0.013108533661030073,0.00016932007148970718,0.2858211646598338,0.03312401649874967,0.02148608396005322,0.00439099627697578,0.5302876924871506,0.2596988286621398,0.5240954474574121,0.2699088133971667,0.013335041178164649,0.006504342381921411,0.01310816685466169,0.0001693104922246789,1.7325412373219746,,,,,
Nominal_30deg,Quaternion,0.001,4.0,30.0,0.5,1.5,80.0,2.0,0.013335436647005238,0.006504526525594803,0.013108533972512023,0.00016932007901930993,0.2858211647240333,0.033124016876725594,0.021486084356116916,0.004390996377186507,0.5302877024844496,0.259698834446529,0.5240954591393218,0.2699088254207685,0.013335041401789548,0.006504342526537888,0.013108167146678276,0.00016931049975352214,,,,,,
NearSingularity_90deg,Euler_ZYX,0.001,5.0,90.0,0.5,2.0,80.0,2.0,0.026672638787491026,0.014282594568897399,0.03931073228838082,0.0010201665306051068,0.5716212336226241,0.05926056304824935,0.04297144965108644,0.017562583478310478,1.0605595557330627,0.5705468840554204,1.5717895498109793,1.6279442582736525,0.0266694762822682,0.014280973030798455,0.039306298644449914,0.0010199348997226702,2.6670937881135812e+23,2.007,2.037,2.048,2.05,2.1310000000000002
NearSingularity_90deg,Quaternion,0.001,5.0,90.0,0.5,2.0,80.0,2.0,0.02667264057658785,0.014282595851167078,0.039310735603401585,0.001020166713783123,0.5716212341361568,0.05926056575284128,0.042971452818708275,0.01756258508138747,1.0605596356915528,0.5705469353277205,1.571789691114986,1.6279445508646821,0.026669478070725904,0.014280974312631324,0.03930630217679984,0.0010199350828174964,,,,,,
ForcedCrossing_120deg,Euler_ZYX,0.001,3.0,120.0,0.0,1.0,80.0,2.0,0.05335941081917038,0.030058202404402386,0.05245614902737428,0.002711390090883848,1.143073705477343,0.1529754871073096,0.08593713608939252,0.07022790046681167,2.120992097032145,1.1995908932980068,2.0963805810244986,4.318493952161813,0.05333409336692732,0.030044588205553408,0.05243262280461911,0.0027089345186042785,83492.80372370272,0.766,0.775,0.775,,
ForcedCrossing_120deg,Quaternion,0.001,3.0,120.0,0.0,1.0,80.0,2.0,0.05335942512985866,0.03005821310675397,0.052456167444045805,0.0027113920216882796,1.1430737095835641,0.15297551502214332,0.08593716140213616,0.07022792609706628,2.120992736062495,1.1995913207887194,2.096381328649494,4.318497030071785,0.053334107657252314,0.030044598893309737,0.05243264149321367,0.002708936445902266,,,,,,
